district_id,pm_25,aqi_index,time
VNM.1.1_1,15.964736,59,2024-11-30
VNM.1.2_1,13.679895,54,2024-11-30
VNM.1.3_1,16.488186,60,2024-11-30
VNM.1.4_1,15.739371,59,2024-11-30
VNM.1.5_1,14.912414,57,2024-11-30
VNM.1.6_1,13.994502,55,2024-11-30
VNM.1.7_1,15.528992,58,2024-11-30
VNM.1.8_1,14.714693,56,2024-11-30
VNM.1.9_1,16.085024,59,2024-11-30
VNM.1.10_1,14.132248,55,2024-11-30
VNM.1.11_1,15.977994,59,2024-11-30
VNM.2.1_1,10.476575,44,2024-11-30
VNM.2.2_1,11.70683,49,2024-11-30
VNM.2.3_1,12.052262,51,2024-11-30
VNM.2.4_1,12.101003,51,2024-11-30
VNM.2.5_1,11.375493,48,2024-11-30
VNM.2.6_1,11.408917,48,2024-11-30
VNM.2.7_1,12.250891,51,2024-11-30
VNM.3.1_1,69.24731,158,2024-11-30
VNM.3.2_1,66.90218,157,2024-11-30
VNM.3.3_1,51.101883,139,2024-11-30
VNM.3.4_1,37.32424,105,2024-11-30
VNM.3.5_1,33.451916,96,2024-11-30
VNM.3.6_1,30.0675,89,2024-11-30
VNM.3.7_1,56.277504,151,2024-11-30
VNM.3.8_1,57.813473,152,2024-11-30
VNM.3.9_1,48.532787,133,2024-11-30
VNM.3.10_1,42.964214,119,2024-11-30
VNM.4.1_1,31.996017,93,2024-11-30
VNM.4.2_1,30.819998,90,2024-11-30
VNM.4.3_1,31.631907,92,2024-11-30
VNM.4.4_1,32.553482,94,2024-11-30
VNM.4.5_1,31.976349,93,2024-11-30
VNM.4.6_1,31.781355,92,2024-11-30
VNM.4.7_1,28.650263,86,2024-11-30
VNM.4.8_1,32.281284,93,2024-11-30
VNM.5.1_1,63.547234,155,2024-11-30
VNM.5.2_1,52.92641,144,2024-11-30
VNM.5.3_1,52.761993,144,2024-11-30
VNM.5.4_1,54.33619,147,2024-11-30
VNM.5.5_1,75.8825,162,2024-11-30
VNM.5.6_1,58.070427,152,2024-11-30
VNM.5.7_1,62.418842,155,2024-11-30
VNM.5.8_1,92.69285,170,2024-11-30
VNM.6.1_1,14.216167,55,2024-11-30
VNM.6.2_1,11.851205,50,2024-11-30
VNM.6.3_1,12.778479,52,2024-11-30
VNM.6.4_1,12.0142355,50,2024-11-30
VNM.6.5_1,13.205516,53,2024-11-30
VNM.6.6_1,14.864357,57,2024-11-30
VNM.6.7_1,11.283008,47,2024-11-30
VNM.6.8_1,12.624666,52,2024-11-30
VNM.6.9_1,11.625753,48,2024-11-30
VNM.7.1_1,14.449091,56,2024-11-30
VNM.7.2_1,14.641825,56,2024-11-30
VNM.7.3_1,14.704885,56,2024-11-30
VNM.7.4_1,14.165545,55,2024-11-30
VNM.7.5_1,14.602908,56,2024-11-30
VNM.7.6_1,13.145894,53,2024-11-30
VNM.7.7_1,12.76921,52,2024-11-30
VNM.8.1_1,14.289858,56,2024-11-30
VNM.8.2_1,12.421915,52,2024-11-30
VNM.8.3_1,13.890623,55,2024-11-30
VNM.8.4_1,12.591692,52,2024-11-30
VNM.8.5_1,12.139327,51,2024-11-30
VNM.8.6_1,11.722757,49,2024-11-30
VNM.8.7_1,10.09275,42,2024-11-30
VNM.8.8_1,12.537797,52,2024-11-30
VNM.8.9_1,10.055096,42,2024-11-30
VNM.8.10_1,14.022968,55,2024-11-30
VNM.8.11_1,12.018521,50,2024-11-30
VNM.9.1_1,13.926479,55,2024-11-30
VNM.9.2_1,12.948167,53,2024-11-30
VNM.9.3_1,13.647442,54,2024-11-30
VNM.9.4_1,16.208496,60,2024-11-30
